"EVALUACIÓN";"ENSEÑANZA";"ESTUDIO";"GRUPO";"Nº ALU. GRUPO";"ITEM";"PA-Nº";"PA-%";"AD-Nº";"AD-%";"MA-Nº";"MA-%";"EX-Nº";"EX-%";"NO EVA.-Nº";"NO EVA.-%"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Comunicación lingüística";"9";"36";"14";"56";"2";"8";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencia matemática y competencias básicas en ciencia y tecnología";"6";"24";"14";"56";"5";"20";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencia digital";"2";"8";"20";"80";"3";"12";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Aprender a aprender";"7";"28";"16";"64";"2";"8";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencias sociales y cívicas";"4";"16";"19";"76";"2";"8";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Sentido de iniciativa y espíritu emprendedor";"7";"28";"17";"68";"1";"4";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Conciencia y expresiones culturales";"3";"12";"21";"84";"1";"4";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"23";"Comunicación lingüística";"9";"39";"10";"43";"4";"17";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"23";"Competencia matemática y competencias básicas en ciencia y tecnología";"5";"22";"15";"65";"3";"13";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"23";"Competencia digital";"3";"13";"17";"74";"3";"13";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"23";"Aprender a aprender";"8";"35";"12";"52";"3";"13";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"23";"Competencias sociales y cívicas";"4";"17";"17";"74";"2";"9";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"23";"Sentido de iniciativa y espíritu emprendedor";"7";"30";"14";"61";"2";"9";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"23";"Conciencia y expresiones culturales";"1";"4";"19";"83";"2";"9";"1";"4";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Comunicación lingüística";"7";"28";"11";"44";"5";"20";"2";"8";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Competencia matemática y competencias básicas en ciencia y tecnología";"7";"28";"11";"44";"5";"20";"2";"8";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Competencia digital";"5";"20";"13";"52";"7";"28";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Aprender a aprender";"10";"40";"7";"28";"5";"20";"3";"12";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Competencias sociales y cívicas";"2";"8";"14";"56";"9";"36";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Sentido de iniciativa y espíritu emprendedor";"9";"36";"9";"36";"6";"24";"1";"4";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Conciencia y expresiones culturales";"2";"8";"17";"68";"6";"24";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"26";"Comunicación lingüística";"6";"23";"16";"62";"4";"15";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"26";"Competencia matemática y competencias básicas en ciencia y tecnología";"6";"23";"18";"69";"2";"8";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"26";"Competencia digital";"2";"8";"23";"88";"1";"4";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"26";"Aprender a aprender";"8";"31";"16";"62";"2";"8";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"26";"Competencias sociales y cívicas";"3";"12";"21";"81";"1";"4";"1";"4";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"26";"Sentido de iniciativa y espíritu emprendedor";"6";"23";"17";"65";"3";"12";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"26";"Conciencia y expresiones culturales";"3";"12";"22";"85";"1";"4";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Comunicación lingüística";"31";"31";"51";"52";"15";"15";"2";"2";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Competencia matemática y competencias básicas en ciencia y tecnología";"24";"24";"58";"59";"15";"15";"2";"2";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Competencia digital";"12";"12";"73";"74";"14";"14";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Aprender a aprender";"33";"33";"51";"52";"12";"12";"3";"3";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Competencias sociales y cívicas";"13";"13";"71";"72";"14";"14";"1";"1";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Sentido de iniciativa y espíritu emprendedor";"29";"29";"57";"58";"12";"12";"1";"1";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Conciencia y expresiones culturales";"9";"9";"79";"80";"10";"10";"1";"1";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Comunicación lingüística";"10";"34";"12";"41";"7";"24";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Competencia matemática y competencias básicas en ciencia y tecnología";"12";"41";"14";"48";"3";"10";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Competencia digital";"5";"17";"19";"66";"5";"17";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Aprender a aprender";"7";"24";"18";"62";"4";"14";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Competencias sociales y cívicas";"4";"14";"21";"72";"4";"14";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Sentido de iniciativa y espíritu emprendedor";"8";"28";"18";"62";"3";"10";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Conciencia y expresiones culturales";"11";"38";"17";"59";"1";"3";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Comunicación lingüística";"8";"28";"11";"38";"10";"34";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Competencia matemática y competencias básicas en ciencia y tecnología";"13";"45";"7";"24";"5";"17";"4";"14";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Competencia digital";"4";"14";"15";"52";"10";"34";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Aprender a aprender";"10";"34";"9";"31";"10";"34";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Competencias sociales y cívicas";"6";"21";"13";"45";"9";"31";"1";"3";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Sentido de iniciativa y espíritu emprendedor";"10";"34";"9";"31";"9";"31";"1";"3";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Conciencia y expresiones culturales";"9";"31";"11";"38";"9";"31";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"18";"Comunicación lingüística";"5";"28";"7";"39";"5";"28";"1";"6";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"18";"Competencia matemática y competencias básicas en ciencia y tecnología";"5";"28";"8";"44";"3";"17";"2";"11";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"18";"Competencia digital";"2";"11";"13";"72";"3";"17";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"18";"Aprender a aprender";"5";"28";"6";"33";"6";"33";"1";"6";"0";"0"
