"EVALUACIÓN";"ENSEÑANZA";"ESTUDIO";"GRUPO";"Nº ALU. GRUPO";"ITEM";"PA-Nº";"PA-%";"AD-Nº";"AD-%";"MA-Nº";"MA-%";"EX-Nº";"EX-%";"NO EVA.-Nº";"NO EVA.-%"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Comunicación lingüística";"9";"45";"10";"50";"1";"5";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Competencia matemática y competencias básicas en ciencia y tecnología";"12";"60";"6";"30";"2";"10";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Competencia digital";"6";"30";"14";"70";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Aprender a aprender";"9";"45";"10";"50";"1";"5";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Competencias sociales y cívicas";"10";"50";"9";"45";"1";"5";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Sentido de iniciativa y espíritu emprendedor";"11";"55";"9";"45";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Conciencia y expresiones culturales";"7";"35";"13";"65";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Comunicación lingüística";"4";"21";"11";"58";"3";"16";"1";"5";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Competencia matemática y competencias básicas en ciencia y tecnología";"5";"26";"10";"53";"3";"16";"1";"5";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Competencia digital";"1";"5";"15";"79";"3";"16";"0";"0";"0";"0"
