"ENSEÑANZA";"EVALUACIÓN";"ESTUDIO";"MATERIA";"CÓDIGO";"GRUPO";"NEGATIVAS";"POSITIVAS";"% POSITIVAS"
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel A2";"Inglés";"ING";"ING-A2";"1";"2";"66,7"
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B1";"Inglés";"ING";"ING-B1";"23";"4";"14,8"
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B2";"Inglés";"ING";"ING-B2";"24";"5";"17,2"
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"ENSEÑANZA";"EVALUACIÓN";"ESTUDIO";"ALUMNADO CON";"GRUPO";"TOTAL";"% TOTAL";"% ACUMULADO";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel A2";"0 suspensos";"ING-A2";"2";"66,7";"66,7";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel A2";"1 suspenso";"ING-A2";"1";"33,3";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel A2";"2 suspensos";"ING-A2";"0";"0";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel A2";"3 suspensos";"ING-A2";"0";"0";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel A2";"más de 3 suspensos";"ING-A2";"0";"0";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B1";"0 suspensos";"ING-B1";"4";"14,8";"14,8";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B1";"1 suspenso";"ING-B1";"23";"85,2";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B1";"2 suspensos";"ING-B1";"0";"0";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B1";"3 suspensos";"ING-B1";"0";"0";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B1";"más de 3 suspensos";"ING-B1";"0";"0";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B2";"0 suspensos";"ING-B2";"5";"17,2";"17,2";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B2";"1 suspenso";"ING-B2";"24";"82,8";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B2";"2 suspensos";"ING-B2";"0";"0";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B2";"3 suspensos";"ING-B2";"0";"0";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B2";"más de 3 suspensos";"ING-B2";"0";"0";"100";""
