"ENSEÑANZA";"EVALUACIÓN";"ESTUDIO";"MATERIA";"CÓDIGO";"GRUPO";"NEGATIVAS";"POSITIVAS";"% POSITIVAS"
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B1";"Inglés";"ING";"ING-B1";"14";"12";"46,2"
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B2";"Inglés";"ING";"ING-B2";"9";"19";"67,9"
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"ENSEÑANZA";"EVALUACIÓN";"ESTUDIO";"ALUMNADO CON";"GRUPO";"TOTAL";"% TOTAL";"% ACUMULADO";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B1";"0 suspensos";"ING-B1";"12";"46,2";"46,2";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B1";"1 suspenso";"ING-B1";"14";"53,8";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B1";"2 suspensos";"ING-B1";"0";"0";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B1";"3 suspensos";"ING-B1";"0";"0";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B1";"más de 3 suspensos";"ING-B1";"0";"0";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B2";"0 suspensos";"ING-B2";"19";"67,9";"67,9";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B2";"1 suspenso";"ING-B2";"9";"32,1";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B2";"2 suspensos";"ING-B2";"0";"0";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B2";"3 suspensos";"ING-B2";"0";"0";"100";""
"Prueba de certificación de enseñanzas de idiomas para población escolar (LOMCE)";"Convocatoria ordinaria";"Prueba de certificación para población escolar-Inglés-Nivel B2";"más de 3 suspensos";"ING-B2";"0";"0";"100";""
